gene_name,log_fc,ave_expr,t,p_value,adj_p_val,b
HIST1H2AD,3.959249218,-0.343368677,3.819528588,7.52243999999999e-4,0.001240497,-0.538182099
RNU5A-1,3.95604807699999,-1.469838641,4.568502356,1.06147999999999e-4,1.99974e-4,1.313103428
TNFAIP3,3.953348692,6.604487982,9.15274792,1.36e-9,7.04999999999999e-9,11.84964214
TNFRSF10D,3.947176677,5.425819838,7.340039364,8.83e-8,3e-7,7.803522926
P2RY12,3.94483703199999,10.15937892,13.71189938,2.25e-13,3.12999999999999e-12,20.58241033
CARD8-AS1,3.944584861,2.808098346,9.837426205,3.13999999999999e-10,1.92e-9,13.48075741
GNGT2,3.944033252,2.103698274,9.88915903899999,2.82e-10,1.73999999999999e-9,13.5277620999999
IFNGR1,3.929921941,9.543514606,13.77484652,2.03e-13,2.86e-12,20.67364181
KBTBD8,3.925037635,4.494179096,4.823919651,5.42e-5,1.06779e-4,1.548689847
HK3,3.923514435,3.584760621,3.65848440899999,0.00113842,0.00181952,-1.305363478
SOWAHD,3.92065685399999,2.827007901,5.23705223,1.83e-5,3.92e-5,2.78851709699999
LCP1,3.919794959,8.154673486,13.79219755,1.96999999999999e-13,2.79e-12,20.69560556
POC1B-GALNT4,3.918149311,5.021362767,8.85521207299999,2.62e-9,1.27e-8,11.36454127
INPP5D,3.91282023,9.048123978,16.23148345,4.45e-15,1.08e-13,24.51626306
ODF3B,3.909943255,3.69219805199999,2.77535128399999,0.010106649,0.014040881,-3.40388884199999
ZFHX3,3.90863098,8.385316932,15.51857607,1.28e-14,2.63e-13,23.45176454
HLA-DQA1,3.90336429399999,4.138991399,2.426422805,0.022526476,0.029788316,-4.21558773199999
NFKBID,3.895923742,6.298570268,5.445555021,1.06e-5,2.37e-5,2.814290791
SUMO4,3.8941616,1.024893877,7.06423512799999,1.73e-7,5.55e-7,7.368060257
HIST1H4E,3.88947847899999,0.811194784,3.594102861,0.001342122,0.002118126,-1.164025152
FYB,3.889369211,8.521792117,13.8878079999999,1.68e-13,2.42e-12,20.85203729
C10orf128,3.886019881,5.255762068,7.629374029,4.4e-8,1.61e-7,8.487737085
PLAU,3.88302071899999,4.307321687,3.070084873,0.004979194,0.007219948,-2.801969428
IL17RA,3.882143061,8.557370471,21.27528114,6.53e-18,4.92999999999999e-16,31.02287666
APBB1IP,3.88093342,8.557258707,14.15244169,1.09e-13,1.65e-12,21.28998714
MYC,3.880558138,5.203803823,5.054370816,2.95e-5,6.08999999999999e-5,2.057097471
GIMAP8,3.88043485899999,6.49360640399999,8.418439668,6.99e-9,3.07e-8,10.18880497
CD1D,3.879394853,1.765909116,3.480504947,0.00179152399999999,0.00277468599999999,-1.529032633
PCED1B,3.879015053,5.304775481,9.485713466,6.62e-10,3.73e-9,12.70249267
CASP8,3.87636953899999,4.790089123,11.44393817,1.26999999999999e-11,1.12e-10,16.66675643
TGFBR2,3.873716965,8.5696169,15.64900383,1.05e-14,2.21e-13,23.64847729
POMK,3.87362491,3.162075347,4.195213468,2.82995e-4,4.98553e-4,0.08868938
SUSD6,3.873420016,8.659975509,17.77567535,5.11e-16,1.7e-14,26.68526609
IL15RA,3.869447834,2.952302751,5.992624356,2.56e-6,6.41e-6,4.706837593
MR1,3.86755584,5.643530769,11.16660064,2.17e-11,1.81e-10,16.09440476
LRRK1,3.866968311,7.617882145,14.64810017,4.92e-14,8.37e-13,22.10729727
TMEM86A,3.85594766699999,6.268493892,8.575496162,4.9e-9,2.23e-8,10.5722548
HACD4,3.855175676,5.038952773,6.80200728299999,3.3e-7,9.95999999999999e-7,6.513908852
MLKL,3.841465878,4.908375913,6.535482965,6.44e-7,1.82e-6,5.856530671
PLK3,3.840232742,6.580024227,9.228654047,1.15e-9,6.1e-9,11.98843652
RUBCNL,3.838899296,6.301446415,11.11549581,2.38999999999999e-11,1.97e-10,15.94252888
CD83,3.838246958,7.816588395,7.720848048,3.54e-8,1.32e-7,8.42082003
HLA-DRB6,3.832238194,4.912972551,2.641068673,0.013829361,0.018850836,-3.946724665
IL13RA1,3.822249902,8.60687259799999,13.79054142,1.96999999999999e-13,2.79e-12,20.68877099
ELF1,3.817932732,7.13595081,15.9613565999999,6.61e-15,1.48e-13,24.13403709
ZNF460,3.81610752699999,4.298156737,3.38933522,0.002255115,0.00343687099999999,-2.056073493
GPR160,3.813420375,3.346426041,7.235659864,1.14e-7,3.79e-7,7.744377831
UNC93B1,3.812573796,7.331333896,14.21648633,9.82e-14,1.51e-12,21.41522322
JAK2,3.81155918,6.444915986,19.55143081,5.13e-17,2.37e-15,28.93919858
DPP4,3.80865008,2.816162554,3.010546191,0.005756108,0.008268525,-2.739738718
OLFML3,3.807405694,8.061540384,13.9185903,1.6e-13,2.33e-12,20.90572378
LYL1,3.80544207,6.120429134,9.584995827,5.36e-10,3.08e-9,12.79907771
HLA-DPA1,3.80348344199999,7.95770865,5.273768344,1.66e-5,3.59e-5,2.207720824
MRC2,3.800670512,7.88176758299999,13.89697095,1.66e-13,2.4e-12,20.87358855
ANG,3.797145598,1.685010209,5.65682326899999,6.1e-6,1.42e-5,3.940923248
FKBP5,3.792205275,7.17965965899999,3.444314913,0.001963257,0.003020509,-2.421476727
CD68,3.791739254,8.740198453,12.38518451,2.24e-12,2.38999999999999e-11,18.23075427
ACRBP,3.790007718,2.80702795,5.080196477,2.76e-5,5.73e-5,2.379581655
TLDC2,3.788696059,4.947889908,8.19031301,1.18e-8,4.9e-8,9.86389628399999
ERAP2,3.788305827,4.892690245,5.774984698,4.49e-6,1.07e-5,3.923000687
GIMAP2,3.785901644,4.660776578,8.036088134,1.69e-8,6.73e-8,9.519761584
GMIP,3.785233258,7.441416376,17.9827531,3.87e-16,1.35e-14,26.96745778
UBR5-AS1,3.784510347,2.00386852,3.662431776,0.001126965,0.001802617,-1.103249914
DENND3,3.782505041,9.024154002,20.64468778,1.36e-17,8.77e-16,30.29363254
CD4,3.78167494,8.819857208,17.80884764,4.89e-16,1.66e-14,26.72995182
APOBEC3F,3.78102576899999,3.53879393399999,6.998662645,2.03e-7,6.38999999999999e-7,7.14954710899999
HAMP,3.775724733,3.706083741,2.725583808,0.011360293,0.01567983,-3.505767858
ATM,3.77383307399999,8.839059432,15.08842418,2.47e-14,4.66e-13,22.78813793
LIPC,3.769079432,2.094294264,7.047309571,1.8e-7,5.76e-7,7.33332234
TMIGD2,3.763688318,4.558928816,6.58892207799999,5.62999999999999e-7,1.61e-6,6.027349735
FBP1,3.763217074,3.429801326,6.275901567,1.24e-6,3.31e-6,5.375555551
SLC9A7P1,3.76044964199999,2.78598733399999,4.661997935,8.3e-5,1.58904e-4,1.318670242
HLX,3.758140327,4.190480966,5.387740121,1.23e-5,2.72e-5,3.040107955
SLC17A9,3.757976437,4.92728929,7.183060519,1.29e-7,4.26e-7,7.469994271
ANKRD44,3.75675239199999,7.608934896,10.88835883,3.72999999999999e-11,2.92e-10,15.39127407
GBGT1,3.75557403699999,5.261888892,13.4190820999999,3.68e-13,4.8e-12,20.16583396
LINC00539,3.754736559,1.59942845599999,4.818974588,5.48999999999999e-5,1.08075e-4,1.81555277599999
A2M,3.753425899,11.67756434,17.12727081,1.24e-15,3.69e-14,25.80832019
ZNF660,3.752636503,2.2598755,6.071865016,2.09e-6,5.33e-6,4.947522742
DENND1C,3.749135565,6.073014124,14.53907699,5.85e-14,9.66e-13,21.98210094
TAS2R5,3.748994112,1.814601419,4.446528521,1.46325e-4,2.70284e-4,0.872029908
SUSD3,3.74674615899999,5.429412039,7.386531377,7.89e-8,2.72e-7,7.854731901
PYCARD-AS1,3.746596147,2.916469268,6.32163906,1.11e-6,2.98e-6,5.52301735299999
PDCD6IPP2,3.74466489999999,2.206673299,5.067226784,2.84999999999999e-5,5.91e-5,2.413758105
NCMAP,3.743269071,2.565038927,2.627084553,0.014283387,0.019430966,-3.577991237
ZC3H12A,3.74016984699999,3.658431766,8.27607002299999,9.69e-9,4.09999999999999e-8,10.15041309
PALD1,3.738545269,9.432050078,14.48034113,6.42e-14,1.04e-12,21.83213225
APOBEC3C,3.736293082,3.665323856,8.401486031,7.27e-9,3.17e-8,10.42619013
RNU12,3.73555275,-1.438420459,3.510417483,0.001660684,0.002584733,-1.23414614
MMP14,3.73316928899999,6.87166219,12.11498567,3.65e-12,3.67e-11,17.7852635
DLEC1,3.732524605,3.755066059,6.092282729,1.98e-6,5.08e-6,4.888158064
DAB2,3.725259485,7.706105117,9.733253753,3.91e-10,2.33e-9,13.00237495
PROX2,3.72405276899999,3.05165570699999,4.637613768,8.85e-5,1.6858e-4,1.231295003
TCIRG1,3.721222781,7.697494996,15.36022768,1.63e-14,3.25999999999999e-13,23.21410955
IFI30,3.720882078,6.258850382,4.831941844,5.3e-5,1.04767e-4,1.190282085
C1QC,3.72017737199999,9.92237059,12.05753749,4.05e-12,4.03e-11,17.65450555
MGAT4A,3.71819679,8.461336689,20.58476722,1.46e-17,9.19e-16,30.22409868
ZMYND15,3.717915048,5.43353321799999,8.906120791,2.33999999999999e-9,1.14e-8,11.40580892
REEP4,3.715519207,6.26335863399999,11.37061836,1.46e-11,1.27e-10,16.41952119
LOC100130298,3.71303338899999,0.828918322,7.422758504,7.23e-8,2.51e-7,8.196728575
EPSTI1,3.712859403,4.912787309,5.337679048,1.4e-5,3.07e-5,2.76214624899999
FHOD1,3.707540629,7.243561185,12.44245018,2.02e-12,2.18e-11,18.36634246
N4BP2L2-IT2,3.70577617199999,3.53030691899999,6.130781753,1.8e-6,4.65e-6,4.998531051
DZIP1L,3.7055210180000002,2.852376491,6.350940697,1.03e-6,2.79e-6,5.605221393
ZNF816,3.699284108,2.862747035,7.667892016,4.01999999999999e-8,1.48e-7,8.776202232
UBA7,3.699131386,8.257981307,13.89082401,1.67e-13,2.41e-12,20.85536083
DPEP2,3.698082256,3.971361768,3.987047555,4.87236999999999e-4,8.28013e-4,-0.543746052
IL16,3.695833778,6.514670092,9.538062571,5.92e-10,3.36e-9,12.65288528
SIRPB1,3.692886861,3.103943983,3.320833517,0.00267795099999999,0.004036779,-2.080787228
HCG4B,3.689329982,2.49655431699999,6.063978802,2.13e-6,5.43e-6,4.912632976
LINC01094,3.68878059899999,5.992382527,8.321270219,8.73e-9,3.75e-8,9.986105136
LOC100130357,3.688288228,2.889367154,4.577243146,1.03732e-4,1.95573e-4,1.086790703
MYO1G,3.685229744,2.928455378,2.57300553,0.016173293,0.0218066479999999,-3.753398038
RGL3,3.681819828,5.940998416,8.02942604299999,1.72e-8,6.83e-8,9.340552542
LOC283922,3.68061051399999,2.463262171,6.010154307,2.45e-6,6.16e-6,4.776010988
PGM5P2,3.68040847899999,2.277423624,3.955444504,0.00052895800000000005,8.93116e-4,-0.430799051
VNN2,3.679604794,2.05419813,3.304244213,0.002791348,0.004193328,-2.014359089
LAPTM5,3.677320762,10.4252706,15.20262761,2.07e-14,3.97999999999999e-13,22.99165751
TNFSF13B,3.674036322,3.65835558899999,3.503649153,0.00168945,0.002627179,-1.71450209199999
CCDC18,3.673871128,3.202208384,8.048808276,1.63999999999999e-8,6.55999999999999e-8,9.644121582
TMEM173,3.665400848,7.07674072399999,14.27639493,8.91e-14,1.38e-12,21.52068525
KCTD12,3.664302365,10.12744141,17.75412127,5.26e-16,1.74e-14,26.66287137
IKBKE,3.66243998,4.501853031,5.409002071,1.15999999999999e-5,2.59e-5,3.03227745699999
RPS6KA1,3.662300298,7.37419359399999,14.56721306,5.59e-14,9.35e-13,21.97463471
LOC648987,3.660933499,2.175353418,9.43049068,7.45e-10,4.14e-9,12.62778878
SLC4A7,3.659214122,7.793673048,13.60243526,2.7e-13,3.66e-12,20.3789761
CXCL8,3.657122484,5.214199664,3.601001764,0.001318697,0.002084096,-1.70748098699999
ABCA1,3.657096947,7.189796197,8.810959345,2.88999999999999e-9,1.38999999999999e-8,11.00721077
SSH2,3.650489918,8.239644845,12.8615291,9.60999999999999e-13,1.13e-11,19.08544776
FAM46A,3.650183567,4.57888892699999,5.7988467,4.22e-6,1.01999999999999e-5,4.034154948
P3H2,3.649502588,5.40989869799999,9.785393055,3.51e-10,2.12e-9,13.311384
IGSF10,3.649484056,5.986042436,5.94161248299999,2.92e-6,7.23e-6,4.161438792
CEP135,3.647483989,3.915894125,8.134723612,1.34e-8,5.49e-8,9.816990167
LOC102723809,3.64289375,0.876318078,5.11186660399999,2.54e-5,5.31e-5,2.598943849
C1QB,3.635322325,10.03303241,10.82711694,4.2e-11,3.25e-10,15.28841799
N4BP2,3.634553368,4.929869287,6.672491112,4.56e-7,1.34e-6,6.219413873
AGAP5,3.630664633,2.61223734,8.991038741,1.94e-9,9.67e-9,11.72820496
PLEKHM1P1,3.629174416,4.83268864,7.88806454799999,2.39e-8,9.19999999999999e-8,9.170106417
BISPR,3.629003025,3.271233156,6.87957318,2.73e-7,8.35999999999999e-7,6.876154875
ARHGAP15,3.628993439,3.63844821,7.39167650399999,7.79e-8,2.69e-7,8.086102235
CFAP74,3.628095228,4.288395392,3.840048654,7.13388999999999e-4,0.00118165,-0.953047862
ARHGAP4,3.625887158,8.250255042,15.51790591,1.28e-14,2.63e-13,23.4474636
LOC101926963,3.623334473,1.839116716,7.136094755,1.45e-7,4.72999999999999e-7,7.54610404
OAS1,3.621699384,5.683766421,6.91684062,2.48999999999999e-7,7.68e-7,6.646675995
SPTY2D1-AS1,3.62018463,1.970177135,6.902419921,2.58e-7,7.94e-7,6.989988961
CCDC88B,3.61754852899999,7.335475356,15.47523568,1.37e-14,2.78999999999999e-13,23.39517196
LYVE1,3.615782411,6.37453712,4.248613837,2.46053e-4,4.37926e-4,-0.305904729
MKNK1,3.615001405,8.916229619,21.79484681,3.61e-18,3.06999999999999e-16,31.60744927
LOC400043,3.61293007,4.416125708,7.88220770899999,2.41999999999999e-8,9.33e-8,9.175671992
CECR1,3.599725338,8.294238886,16.65634897,2.41e-15,6.51e-14,25.12809218
B4GALT4-AS1,3.597719909,0.437121677999999,6.047562046,2.23e-6,5.65e-6,4.933328008
TNFRSF12A,3.59595176399999,3.369969235,3.723916576,9.62442e-4,0.001556865,-1.135288599
ATP11C,3.59170644399999,5.204135568,8.159321527,1.27e-8,5.20999999999999e-8,9.72592127299999
PTGS2,3.585791897,5.61073462799999,3.709024785,9.99989e-4,0.00161040299999999,-1.57841360699999
WAS,3.58320268399999,6.724862061,11.93284131,5.1e-12,4.92999999999999e-11,17.44199613
BACH1,3.58204357,6.96938334799999,17.303468,9.73e-16,2.99e-14,26.04977895
SGK1,3.58174609,9.431908752,8.741285992,3.37e-9,1.59e-8,10.81387995
STXBP2,3.579439344,6.382675063,15.42406961,1.48e-14,3e-13,23.34325195
ASGR2,3.573289405,2.073387809,4.992288446,3.48e-5,7.08e-5,2.218418544
HSPA1B,3.572615178,9.498939191,7.880539522,2.43e-8,9.35999999999999e-8,8.81285807
RAPGEF6,3.570729815,7.55875729299999,12.29196298,2.64e-12,2.77e-11,18.06938975
FANCD2,3.55912736399999,3.655123098,9.769982744,3.62e-10,2.17e-9,13.37622941
HLX-AS1,3.55724686,1.321112948,5.49841083,9.22e-6,2.08e-5,3.54542844399999
STAMBPL1,3.55680931399999,5.644191835,8.96035522299999,2.07e-9,1.03e-8,11.50023799
PLD4,3.55505967,8.492710274,9.444452872,7.23e-10,4.04e-9,12.35700018
SKIL,3.551905238,8.237816184,13.84357502,1.81e-13,2.6e-12,20.77509204
LPAR2,3.550720191,5.777786323,7.673365319,3.97e-8,1.45999999999999e-7,8.517257301
KLRA1P,3.550063151,2.229471508,5.940648675,2.93e-6,7.24e-6,4.619285742
BCO2,3.547351643,4.310767166,4.553035512,1.1056e-4,2.07713e-4,0.820799550999999
GCNT2,3.546047363,4.47013225699999,10.18085,1.54e-10,1.02e-9,14.20377186
TIMM23B,3.54374480399999,2.877433322,6.93258091,2.39e-7,7.43e-7,7.02553423399999
FOSB,3.542606648,8.890582736,4.68669580699999,7.78e-5,1.49522e-4,0.662754133999999
NPL,3.540575216,6.858449046,8.57163566899999,4.94e-9,2.25e-8,10.47129511
LOC100289580,3.539969298,4.228410351,3.78755778,8.16957e-4,0.001340027,-1.092674339
PLAUR,3.539273937,5.0060623379999996,3.759355578,8.78553999999999e-4,0.00143133,-1.32119695
RNF125,3.536888225,5.418717467,6.03159828,2.32e-6,5.86e-6,4.417026791
CASP4,3.534710296,4.077078256,6.449189532,8e-7,2.23e-6,5.729271036
RNFT1,3.534054143,4.885624439,14.91113801,3.25e-14,5.83999999999999e-13,22.52970855
CYFIP1,3.53358430899999,9.901506011,19.88391452,3.41e-17,1.72e-15,29.38150182
CASP10,3.533426229,5.988836768,13.66857099,2.42e-13,3.31e-12,20.5609109999999
SELPLG,3.532991235,9.401471419,9.416351025,7.67999999999999e-10,4.26e-9,12.31652939
IER5,3.530133151,7.250101357,8.076349344,1.54e-8,6.19e-8,9.291802053
ADPRH,3.528750852,4.755102,13.61141454,2.66e-13,3.60999999999999e-12,20.47702473
LMLN-AS1,3.524610746,0.789498374,6.013637209,2.43e-6,6.12e-6,4.848096342
EML4,3.524599372,7.450947886,19.91258891,3.28999999999999e-17,1.68999999999999e-15,29.41933962
GLIPR1,3.522062937,7.371717845,13.67391689,2.4e-13,3.29e-12,20.50545327
NHLRC2,3.520913512,5.24492691,6.278677145,1.23e-6,3.29e-6,5.129545067
RNVU1-19,3.520196603,-1.315485858,3.03809265399999,0.005383265,0.00776558699999999,-2.314630066
CD93,3.518730051,6.24297964299999,5.184012064,2.1e-5,4.46e-5,2.145650911
RNF149,3.516754112,6.909011427,15.96205147,6.6e-15,1.48e-13,24.13636106
PARP14,3.514423189,8.085157247,10.78465079,4.57e-11,3.49e-10,15.1640982
MAML3,3.511477763,5.63678949,10.846994,4.04e-11,3.13999999999999e-10,15.45543865
SH2B3,3.507853998,8.388641627,19.97081218,3.06e-17,1.63e-15,29.49153268
RNASET2,3.506602966,9.08150219,13.524612,3.07999999999999e-13,4.09e-12,20.24277106
TMPRSS4-AS1,3.506220575,-1.023399054,2.512112335,0.018578381,0.024864148,-3.442640612
USP53,3.50604899699999,7.654667501,8.988465824,1.95e-9,9.72e-9,11.36675727
SLC22A18,3.505325996,4.17688713399999,5.606449817,6.96e-6,1.61e-5,3.575875541
LMNTD2,3.504574334,3.338317648,4.850282943,5.05e-5,1.00129e-4,1.7241626
RNF122,3.503670686,5.112853581,5.708696316,5.34e-6,1.26e-5,3.652647705
TNFRSF10B,3.500474712,6.765748964,13.71231486,2.25e-13,3.12999999999999e-12,20.59682231
KIAA1551,3.498396351,6.810510765,13.49373523,3.24e-13,4.3e-12,20.22162661
NLRC5,3.498310676,5.55241296299999,7.031355581,1.87e-7,5.96e-7,6.946730571
CMTM7,3.493580818,5.286618032,11.14751971,2.25e-11,1.87e-10,16.05505818
ADPGK,3.49317984899999,7.468924166,29.62268728,1.74e-21,8.92e-19,38.99380264
MFSD4B,3.49250655,3.096177686,5.962230095,2.77e-6,6.88e-6,4.608594143
PRDM1,3.48991671399999,5.784854216,8.753714438,3.27999999999999e-9,1.56e-8,11.00963478
ZNF846,3.489167723,5.308829093,5.774563791,4.5e-6,1.08e-5,3.79954045899999
IL1RAP,3.487240866,6.181345247,8.237040158,1.06e-8,4.45e-8,9.772209105
LOC100128108,3.485476699,0.461093541,6.760382196,3.67e-7,1.09e-6,6.64907312
CREB3L2,3.484796002,7.55339300299999,15.20303812,2.07e-14,3.97999999999999e-13,22.96897328
C1orf162,3.48473037899999,4.772679792,5.966790997,2.74e-6,6.81e-6,4.38061189
CXCL16,3.480553305,8.262950647,16.58773446,2.66e-15,7.09e-14,25.02871616
LINC01529,3.479096433,3.856518491,6.048555986,2.22e-6,5.63e-6,4.754104272
RYR1,3.478767665,8.858164321,14.54665927,5.78e-14,9.58e-13,21.93021427
HMOX1,3.475987978,7.36484727799999,9.834669385,3.16e-10,1.93e-9,13.21597063
ZNF100,3.471867311,4.733339343,8.318785818,8.78e-9,3.77e-8,10.16378596
LOC100505549,3.470550538,2.098241189,7.957813947,2.02999999999999e-8,7.94e-8,9.44854963399999
PYGL,3.468605926,6.390278348,9.74703723799999,3.8e-10,2.27e-9,13.11381147
FGD3,3.466038965,6.149178057,13.77250418,2.03e-13,2.86e-12,20.72475951
CLEC2D,3.46205235199999,4.92445626899999,5.660091698,6.05e-6,1.40999999999999e-5,3.59468573
CCDC134,3.460546172,1.884652965,7.389577032,7.83e-8,2.7e-7,8.140957353
CD37,3.458056908,7.213953853,8.16735049,1.24e-8,5.14e-8,9.486114095
ZNF808,3.45705583899999,3.30520901,4.36463102,1.81472e-4,3.30245999999999e-4,0.475559534
CLEC4A,3.456907779,2.960119024,5.584414897,7.37e-6,1.68999999999999e-5,3.64511073899999
HLA-DRB1,3.456824512,7.443797925,4.846924577,5.1e-5,1.00887999999999e-4,1.090837232
NBPF8,3.453333613,3.166468651,8.037555563,1.67999999999999e-8,6.71999999999999e-8,9.61924102299999
PLD1,3.45333097399999,5.955120837,7.545367744,5.38e-8,1.93e-7,8.10524105899999
EP400NL,3.452100416,2.853304793,6.695892286,4.31e-7,1.27e-6,6.44862294299999
ZFP36L2,3.451742611,9.633673847,12.70878774,1.26e-12,1.43e-11,18.83419474
TEP1,3.4485195,7.262786178,17.88145403,4.42999999999999e-16,1.52e-14,26.83113258
SYT6,3.446211012,6.192725066,9.567733553,5.55999999999999e-10,3.18e-9,12.73969739
ZCCHC6,3.44365271899999,6.242100079,12.61547588,1.48e-12,1.65e-11,18.72099313
LOC100129917,3.442806122,2.06645708,4.317078331,2.05607e-4,3.71094e-4,0.493459895
FMO4,3.439667734,2.45061418099999,6.100193212,1.94e-6,4.99e-6,4.989083611
COLGALT1,3.437568919,8.427814874,20.76020126,1.19e-17,7.87e-16,30.43040178
IL4R,3.437457588,6.97398897,10.23544462,1.38e-10,9.23999999999999e-10,14.08511165
STARD5,3.432910541,2.69701298899999,8.89068847299999,2.42e-9,1.18e-8,11.51593082
SORL1,3.429671365,10.79285558,14.07753353,1.23e-13,1.83e-12,21.2142661999999
CEBPA,3.423481752,7.36907463399999,8.620709445,4.42e-9,2.02999999999999e-8,10.53215482
FFAR4,3.416050558,3.945337445,5.419439486,1.13e-5,2.52e-5,3.134165086
BHLHE41,3.415494183,9.655378942,13.17450269,5.58999999999999e-13,6.91e-12,19.65488787
FAM111A,3.413571275,6.449621646,12.59116104,1.55e-12,1.71e-11,18.66368143
SP110,3.413480726,5.708397362,8.99764236299999,1.91e-9,9.55e-9,11.52783336
SERPINF2,3.411790681,3.740943314,5.761118041,4.66e-6,1.11e-5,4.0168155
CNTRL,3.410804195,6.202262061,14.49672372,6.26e-14,1.01999999999999e-12,21.90210578
DHRS9,3.409665905,6.608318726,5.66522584299999,5.97e-6,1.4e-5,3.29198582
ZNF85,3.409432153,3.121214483,8.613278866,4.5e-9,2.06e-8,10.91226694
LRCH3,3.401760134,3.98165049399999,6.47352287,7.52e-7,2.1e-6,5.797721756
KANTR,3.40024733,2.004084115,3.0579147779999998,0.005129364,0.007427194,-2.566182769
FAM212A,3.39848690699999,4.621784529,6.230822385,1.39e-6,3.68e-6,5.110069143
ITGB7,3.396823607,3.57063614,3.55871782199999,0.00146880299999999,0.002307985,-1.605944957
ZNF267,3.393569012,5.319350443,13.18921855,5.45e-13,6.79e-12,19.77501884
NAGA,3.392680866,7.640796439,19.86484801,3.49e-17,1.73999999999999e-15,29.36250015
BTAF1,3.387713135,7.783572312,12.68527189,1.31e-12,1.48e-11,18.77091273
JAK3,3.386652388,6.953073988,7.851885791,2.6e-8,9.96e-8,8.76686718299999
RGS2,3.382828708,6.54655195,7.408877264,7.47e-8,2.58e-7,7.73383896299999
TBC1D2B,3.381699175,6.651318842,17.51997063,7.23e-16,2.29e-14,26.34769475
TMPO-AS1,3.381033321,3.04669677199999,8.690643348,3.78e-9,1.76e-8,11.08099712
LOC101928143,3.380630533,0.744624565999999,5.695626025,5.52e-6,1.3e-5,4.058254312
HLA-DQB1,3.378740236,5.501696268,2.720113842,0.011506664,0.015872952,-3.969238743
SPI1,3.378545902,7.577685492,10.03828104,2.07e-10,1.32e-9,13.63324949
RNF213,3.377798866,9.2980133,11.67813407,8.19e-12,7.54e-11,16.92528038
ASXL2,3.377769027,5.762586511,8.31732290299999,8.80999999999999e-9,3.78e-8,10.00864755
SPPL2A,3.37329624899999,5.209618137,13.21852707,5.18e-13,6.51999999999999e-12,19.82741386
ITIH4-AS1,3.372522465,1.312121656,8.019376645,1.76e-8,6.97e-8,9.570758857
MAF,3.371991698,9.349525112,11.9025513,5.38999999999999e-12,5.18e-11,17.35081225
C1QA,3.371313097,9.184618032,10.37399914,1.03999999999999e-10,7.21e-10,14.34078103
HLA-DRA,3.37088663399999,8.874212765,5.290937115,1.59e-5,3.43999999999999e-5,2.248675704
SLA,3.369320126,7.304244292,8.74188525,3.37e-9,1.59e-8,10.82160234
LY86,3.365768743,6.150464635,8.301677656,9.14e-9,3.91e-8,9.886394876
STAT5A,3.36553343899999,6.025221456,16.43044348,3.32999999999999e-15,8.46e-14,24.82938492
CMTM6,3.364367136,7.376873669,17.51918363,7.24e-16,2.29e-14,26.33916974
LOC100506388,3.363254078,1.855622965,4.40532437699999,1.63068e-4,2.98432999999999e-4,0.72122602
PTPRJ,3.36150706399999,8.685342872,19.37631971,6.39e-17,2.85e-15,28.76087826
RNU5E-1,3.360466888,-1.813726595,3.894617339,6.19405e-4,0.001034753,-0.321346203999999
ZBTB26,3.356058788,2.737486128,7.646611141,4.23e-8,1.55e-7,8.725043241
ZNRF2,3.355354813,6.147924153,13.00175211,7.53e-13,9.09e-12,19.40129545
RASSF10,3.355088245,2.681613481,2.38045835,0.024949493,0.032756528,-4.11465647399999
LTB4R,3.348633938,4.720282455,8.47545293,6.14e-9,2.73e-8,10.50053067
TVP23C,3.345833143,2.11020932199999,4.410361361,1.60923e-4,2.94946e-4,0.715725482999999
TLR4,3.34521293899999,7.424803137,11.50236326,1.13999999999999e-11,1.02e-10,16.58523444
ABHD15,3.335514555,5.80893744799999,10.53686631,7.49e-11,5.4e-10,14.79294526
MSH5,3.334314655,5.089370656,11.47267111,1.20999999999999e-11,1.06999999999999e-10,16.70318916
LRCH1,3.333627841,6.314979964,17.34229751,9.23e-16,2.86e-14,26.10554405
ANXA2R,3.333508852,2.053216866,5.122069811,2.47e-5,5.18e-5,2.533962091
SPATA13,3.33254833899999,8.65111869399999,12.67081129,1.34e-12,1.51e-11,18.74350333
TSSK4,3.32934525,2.212028223,6.007982995,2.46e-6,6.19e-6,4.7757114
FMNL3,3.32570895399999,9.553282406,15.47124327,1.38e-14,2.8e-13,23.38912217
APOC2,3.324774147,6.693691251,5.582808028,7.4e-6,1.7e-5,3.061659693
