gene_name,log_fc,ave_expr,t,p_value,adj_p_val,b
GPR132,4.43718677,5.437875357,12.88681291,9.19e-13,1.09e-11,19.25659543
BIN2,4.434283934,7.320157103,14.71156164,4.45e-14,7.7e-13,22.23195132
ERN1,4.428926864,2.891184585,8.596264261,4.67e-9,2.14e-8,10.86808684
KCNK6,4.427403566,4.443849185,9.23190454,1.14e-9,6.06e-9,12.24608587
DIAPH2,4.42663861,5.010941563,7.78533423,3.04e-8,1.15e-7,8.970419558
RNVU1-14,4.426173841,-0.48838626,5.008869194,3.32999999999999e-5,6.80999999999999e-5,2.389627885
LOC101927954,4.423889663,3.025263595,9.533790891,5.97e-10,3.38999999999999e-9,12.85363148
KCNK13,4.422515376,4.45913541399999,8.212925053,1.12e-8,4.67999999999999e-8,9.991603557
ZNF124,4.42225463,3.946042752,10.01470613,2.17e-10,1.38e-9,13.87150239
HHEX,4.419819153,5.52747912799999,10.5264503,7.65e-11,5.51e-10,14.87505406
LPAR5,4.418188661,8.108211134,15.39278071,1.55e-14,3.12e-13,23.27019098
PRRG4,4.417616823,5.44126262299999,5.011061335,3.31e-5,6.77e-5,1.915738011
ARHGAP25,4.41685004,6.299554632,16.79178976,1.99e-15,5.5e-14,25.32869198
OTUD1,4.414389855,8.21900237899999,11.78988291,6.64e-12,6.24e-11,17.14479326
PLCB2,4.405012934,9.113298639,18.4918656,1.98e-16,7.51e-15,27.63568413
NCF1,4.404014856,2.180035743,7.760502507,3.23e-8,1.20999999999999e-7,8.995718166
IRF5,4.403768118,7.524331569,18.25044593,2.71e-16,9.93e-15,27.32177894
THEMIS2,4.395590357,6.817865819,9.939682071,2.54e-10,1.58e-9,13.53286857
LINC01150,4.393373162,1.977391717,10.05459768,2e-10,1.29e-9,13.80208131
KBTBD12,4.391069278,5.934627569,9.529172071,6.03e-10,3.42e-9,12.79026121
SOCS6,4.39033797399999,8.550615774,18.61939215,1.67e-16,6.44e-15,27.80131442
CYTH4,4.388691793,7.919424246,17.28472124,9.99e-16,3.06e-14,26.02192938
LOC399715,4.38751154,3.209515399,5.383376472,1.25e-5,2.75e-5,3.166344326
ERP27,4.387111973,1.979456466,8.917300891,2.28e-9,1.12e-8,11.51248783
LOC105369438,4.38172467,2.557913396,7.35127830799999,8.59e-8,2.93e-7,8.050807376
IKBIP,4.378519298,3.381636288,9.906983545,2.72e-10,1.68e-9,13.63470398
OLFML2B,4.37556863399999,5.83057698399999,9.159179339,1.34e-9,6.95999999999999e-9,11.97264354
LOC100507006,4.375296116,4.514826955,6.486876996,7.28e-7,2.04e-6,5.839992097
ABCC4,4.374866281,6.922293027,13.56853504,2.86e-13,3.83e-12,20.38414403
SIGLEC5,4.372016754,2.976007249,5.10696320399999,2.57e-5,5.37999999999999e-5,2.47478490199999
EVI2B,4.370691755,6.891264185,11.46795748,1.21999999999999e-11,1.08e-10,16.59437985
TRIM38,4.370256454,7.09123959,21.66410007,4.19e-18,3.43e-16,31.40865181
HIST1H3D,4.36891830699999,0.679595963,4.046882732,4.16939e-4,7.16466e-4,-0.024191262
UHRF1,4.368525167,3.083296891,6.391072358,9.27e-7,2.54e-6,5.71621027
C11orf45,4.36688273899999,3.954346645,11.0726255999999,2.59999999999999e-11,2.13e-10,15.9295622
PLVAP,4.366137331,6.978559731,15.15119879,2.24e-14,4.27e-13,22.92814173
TFCP2L1,4.364432333,5.11913147,6.821805594,3.15e-7,9.52e-7,6.61532300399999
SLCO2B1,4.362978661,10.86523708,19.57421915,4.99e-17,2.32e-15,28.99714991
RASAL3,4.362847995,7.07026933799999,13.21675299,5.19e-13,6.53e-12,19.76726811
LOC101929719,4.361756533,0.173219606,5.895720526,3.29e-6,8.08e-6,4.560438427
LNPEP,4.356975804,4.823153058,5.316277479,1.48e-5,3.22999999999999e-5,2.847064566
TMEM255B,4.356008778,3.284838818,6.01841859799999,2.4e-6,6.05e-6,4.779364765
SYK,4.35478027,7.797911767,15.78368203,8.6e-15,1.87e-13,23.86647148
LHFPL2,4.351920295,9.061179036,24.13831211,2.9e-19,4.2e-17,34.0761493
ZC3H12D,4.344329445,4.411588494,7.958510997,2.02e-8,7.93e-8,9.408373844
LILRB2,4.342665757,3.639045682,4.07311394699999,3.89371999999999e-4,6.72194e-4,-0.241767796
DENND2D,4.341700151,3.072329214,4.175285843,2.98145e-4,5.2367e-4,0.0796882209999999
SELL,4.340157731,4.61672171199999,5.320813668,1.47e-5,3.2e-5,2.831609238
LILRB3,4.337839377,2.246272098,2.519628612,0.018264537,0.02447074,-3.70574129399999
FGL2,4.336039108,7.016889911,9.546549917,5.81e-10,3.31e-9,12.68820755
LOC374443,4.333093761,3.659407786,5.338294626,1.4e-5,3.07e-5,3.007295547
C1orf112,4.331812721,4.877963386,7.597065219,4.75999999999999e-8,1.73e-7,8.51738409
SASH3,4.330407006,6.853600799,13.59097477,2.75e-13,3.72e-12,20.4143395
LCP2,4.32970235,7.191204114,14.10910696,1.17e-13,1.76e-12,21.26660808
LOC100506178,4.32906253,3.098059738,5.526507622,8.57e-6,1.95e-5,3.535447645
LOC105372397,4.32905932699999,1.94772446,10.51343157,7.84999999999999e-11,5.62e-10,14.65695792
ARID3A,4.32892754899999,5.340796144,12.19644779,3.14e-12,3.23e-11,18.04626198
MYO1F,4.326860123,8.327165206,16.7057847,2.25e-15,6.15e-14,25.20505085
PLCG2,4.320683877,6.957586716,17.99297893,3.82e-16,1.33e-14,26.97975089
FAM129A,4.316620951,5.436747319,6.826757234,3.11e-7,9.42e-7,6.575240045
HIST1H2BF,4.31634485,-0.782038578,4.081005886,3.81435999999999e-4,6.59049e-4,0.118552065
CSF3R,4.313117976,8.988155393,16.45844794,3.2e-15,8.17e-14,24.84766562
NLRP3,4.309876016,6.89022833799999,14.24344968,9.4e-14,1.44e-12,21.49689913
ARHGAP30,4.30932326199999,6.947286386,17.42881632,8.19e-16,2.58e-14,26.22347017
CARD9,4.308985583,5.945899597,12.16369151,3.34e-12,3.39e-11,17.96395842
TRIM22,4.303328247,8.041729902,14.17091388,1.06e-13,1.61e-12,21.33560555
